Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	336.04
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	292.66
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	324.47
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	314.13
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	303.68
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	347.11
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	345.34
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	313.49
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	292.05
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	303.3
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	317.76
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	387.93
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	342.48
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	365.76
32754	1.0295e-002	5.2317e-003	-3.8731e-003	374.59
32755	1.4096e-002	3.6393e-003	-3.8731e-003	360.98
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	345.21
32757	6.5532e-003	3.6993e-003	-3.8731e-003	362.54
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	388.95
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	372.64
32760	7.4557e-003	2.8054e-003	-5.1431e-003	402.46
32761	1.0327e-002	3.9616e-003	-5.1431e-003	409.03
32762	1.318e-002	2.7599e-003	-5.1431e-003	399.94
32763	1.0295e-002	1.5138e-002	-4.0001e-003	386.58
32764	1.6644e-002	2.1367e-002	-4.0001e-003	364.99
32765	1.4511e-002	1.674e-002	-4.0001e-003	374.62
32766	1.5882e-002	2.1382e-002	-4.7621e-003	396.69
32767	1.6421e-002	2.1371e-002	-4.5389e-003	380.61
32768	1.3027e-002	1.6613e-002	-4.7621e-003	409.47
32769	7.4702e-003	1.6666e-002	-4.7621e-003	408.71
