Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
32740	1.0295e-002	-1.5342e-002	-4.0001e-003	447.14
32741	3.9459e-003	-2.1572e-002	-4.0001e-003	405.89
32742	6.5465e-003	-1.6567e-002	-4.0001e-003	436.1
32743	4.7078e-003	-2.1586e-002	-4.7621e-003	425.26
32744	4.1554e-003	-2.1576e-002	-4.5249e-003	415.78
32745	7.5623e-003	-1.6818e-002	-4.7621e-003	456.21
32746	1.3119e-002	-1.6871e-002	-4.7621e-003	454.51
32747	1.5882e-002	-2.1798e-002	-4.7621e-003	424.41
32748	1.6644e-002	-2.1813e-002	-4.0001e-003	404.93
32749	1.6434e-002	-2.1809e-002	-4.5251e-003	415.07
32750	1.4827e-002	-1.7245e-002	-4.0001e-003	429.5
32751	1.4358e-002	-1.6697e-004	-5.1431e-003	495.62
32752	1.5628e-002	-1.8718e-004	-3.8731e-003	455.03
32753	1.5256e-002	-1.8126e-004	-4.7711e-003	475.75
32754	1.0295e-002	5.2317e-003	-3.8731e-003	487.55
32755	1.4096e-002	3.6393e-003	-3.8731e-003	473.91
32756	4.9615e-003	-1.7391e-005	-3.8731e-003	457.9
32757	6.5532e-003	3.6993e-003	-3.8731e-003	475.57
32758	6.2313e-003	-3.7604e-005	-5.1431e-003	496.77
32759	5.5069e-003	-2.6073e-005	-4.9162e-003	482.21
32760	7.4557e-003	2.8054e-003	-5.1431e-003	510.15
32761	1.0327e-002	3.9616e-003	-5.1431e-003	516.73
32762	1.318e-002	2.7599e-003	-5.1431e-003	507.77
32763	1.0295e-002	1.5138e-002	-4.0001e-003	500.19
32764	1.6644e-002	2.1367e-002	-4.0001e-003	482.69
32765	1.4511e-002	1.674e-002	-4.0001e-003	489.56
32766	1.5882e-002	2.1382e-002	-4.7621e-003	511.06
32767	1.6421e-002	2.1371e-002	-4.5389e-003	496.65
32768	1.3027e-002	1.6613e-002	-4.7621e-003	520.71
32769	7.4702e-003	1.6666e-002	-4.7621e-003	520.18
32770	4.7078e-003	2.1594e-002	-4.7621e-003	513.18
32771	3.9459e-003	2.1608e-002	-4.0001e-003	483.14
32772	4.1567e-003	2.1604e-002	-4.5263e-003	498.26
32773	5.7622e-003	1.704e-002	-4.0001e-003	488.43
32774	1.0295e-002	-3.1961e-002	-3.787e-003	370.14
32775	1.0295e-002	-3.1961e-002	-7.087e-003	399.24
32776	8.8658e-003	-3.1961e-002	-4.612e-003	377.11
32777	8.8658e-003	-3.1961e-002	-6.262e-003	392.15
32778	1.0295e-002	-4.2061e-002	-3.787e-003	351.3
32779	1.0295e-002	-3.7011e-002	-3.787e-003	353.73
32780	1.0295e-002	-4.2061e-002	-7.087e-003	366.28
32781	8.8658e-003	-4.2061e-002	-4.612e-003	355.24
32782	8.8658e-003	-4.2061e-002	-6.262e-003	362.63
32783	1.0295e-002	-3.7011e-002	-7.087e-003	380.81
32784	1.0295e-002	-3.097e-002	-5.437e-003	389.82
32785	1.0295e-002	3.4408e-002	-2.0275e-002	789.72
32786	1.0295e-002	3.4408e-002	-1.8675e-002	808.37
32787	9.602e-003	3.4408e-002	-1.9875e-002	794.13
32788	9.602e-003	3.4408e-002	-1.9075e-002	803.67
32789	1.0295e-002	3.9408e-002	-2.0275e-002	785.77
32790	1.0295e-002	3.9408e-002	-1.8675e-002	799.26
32791	9.602e-003	3.9408e-002	-1.9875e-002	789.18
32792	9.602e-003	3.9408e-002	-1.9075e-002	796.
32793	1.0295e-002	3.3927e-002	-1.9475e-002	798.44
32794	1.0295e-002	3.4408e-002	-2.7751e-003	493.59
32795	1.0295e-002	3.4408e-002	-1.1751e-003	475.28
32796	9.602e-003	3.4408e-002	-2.3751e-003	488.66
32797	9.602e-003	3.4408e-002	-1.5751e-003	479.84
32798	1.0295e-002	3.9408e-002	-2.7751e-003	500.51
32799	1.0295e-002	3.9408e-002	-1.1751e-003	477.22
32800	9.602e-003	3.9408e-002	-2.3751e-003	495.21
32801	9.602e-003	3.9408e-002	-1.5751e-003	483.63
32802	1.0295e-002	3.3927e-002	-1.9751e-003	483.64
32803	-2.4052e-003	4.0646e-002	1.2891e-002	328.34
32804	-5.7072e-003	4.0646e-002	9.5889e-003	368.26
32805	-4.7401e-003	4.0646e-002	1.1924e-002	344.71
32806	-6.4692e-003	4.1408e-002	9.5889e-003	368.32
32807	-2.4052e-003	4.1408e-002	1.3653e-002	328.29
32808	-5.2789e-003	4.1408e-002	1.2463e-002	344.12
32809	1.0295e-002	2.7838e-002	6.2869e-003	444.73
32810	1.0295e-002	1.5138e-002	6.2869e-003	426.53
32811	1.5794e-002	2.4663e-002	6.2869e-003	426.89
32812	1.5794e-002	1.8313e-002	6.2869e-003	417.88
32813	1.0295e-002	2.7838e-002	-4.0001e-003	508.48
32814	1.0295e-002	2.7838e-002	1.5329e-004	465.97
32815	1.4827e-002	2.5935e-002	-4.0001e-003	496.67
32816	1.0295e-002	1.5138e-002	1.1434e-003	443.4
32817	1.0295e-002	-1.5342e-002	6.2869e-003	391.45
32818	1.0295e-002	-2.8042e-002	6.2869e-003	343.15
32819	1.5794e-002	-1.8517e-002	6.2869e-003	373.75
32820	1.6199e-002	-2.4029e-002	6.2869e-003	353.76
32821	1.0295e-002	-1.5342e-002	1.1434e-003	404.93
32822	1.0295e-002	-2.8042e-002	-4.0001e-003	387.18
32823	1.4742e-002	-2.6225e-002	-4.0001e-003	392.25
32824	1.0295e-002	-2.8042e-002	1.1434e-003	352.51
32825	2.2995e-002	-4.3299e-002	1.2891e-002	290.05
32826	2.6297e-002	-4.3299e-002	9.5889e-003	318.9
32827	2.533e-002	-4.3299e-002	1.1924e-002	303.07
32828	2.7059e-002	-4.4061e-002	9.5889e-003	319.17
32829	2.2995e-002	-4.4061e-002	1.3653e-002	289.66
32830	2.5868e-002	-4.4061e-002	1.2463e-002	302.83
32831	-2.4052e-003	4.0646e-002	6.2869e-003	420.05
32832	-4.7401e-003	4.0646e-002	7.254e-003	395.77
32833	-5.7072e-003	-4.3299e-002	9.5889e-003	320.6
32834	-5.7072e-003	3.3014e-002	9.5889e-003	369.5
32835	-5.7072e-003	2.5383e-002	9.5889e-003	368.24
32836	-5.7072e-003	1.7752e-002	9.5889e-003	365.11
32837	-5.7072e-003	1.012e-002	9.5889e-003	360.46
32838	-5.7072e-003	2.489e-003	9.5889e-003	355.31
32839	-5.7072e-003	-5.1423e-003	9.5889e-003	348.37
32840	-5.7072e-003	-1.2774e-002	9.5889e-003	341.81
32841	-5.7072e-003	-2.0405e-002	9.5889e-003	335.2
32842	-5.7072e-003	-2.8036e-002	9.5889e-003	329.37
32843	-5.7072e-003	-3.5668e-002	9.5889e-003	324.63
32844	-2.4052e-003	-4.3299e-002	6.2869e-003	335.75
32845	-4.7401e-003	-4.3299e-002	7.254e-003	332.18
32846	-2.4052e-003	-3.5668e-002	6.2869e-003	340.14
32847	-2.4052e-003	-2.8036e-002	6.2869e-003	348.7
32848	-2.4052e-003	-2.0405e-002	6.2869e-003	359.29
32849	-2.4052e-003	-1.2774e-002	6.2869e-003	369.85
32850	-2.4052e-003	-5.1423e-003	6.2869e-003	379.44
32851	-2.4052e-003	2.489e-003	6.2869e-003	387.99
32852	-2.4052e-003	1.012e-002	6.2869e-003	396.
32853	-2.4052e-003	1.7265e-002	6.2869e-003	401.77
32854	-2.4052e-003	2.5383e-002	6.2869e-003	408.69
32855	-2.4052e-003	3.1954e-002	6.2869e-003	414.31
32856	1.0295e-002	-5.4363e-003	-3.8731e-003	461.48
32857	1.4036e-002	-3.9039e-003	-3.8731e-003	454.62
32858	1.0295e-002	-5.4363e-003	6.2869e-003	397.2
32859	1.0295e-002	-5.4363e-003	1.2069e-003	411.41
32860	1.0295e-002	5.2317e-003	6.2869e-003	422.52
32861	1.4914e-002	2.5647e-003	6.2869e-003	408.91
32862	1.4914e-002	-2.7693e-003	6.2869e-003	395.88
32863	1.0295e-002	5.2317e-003	1.2069e-003	438.27
32864	1.0295e-002	-2.408e-002	-2.4475e-002	533.69
32865	1.0295e-002	-1.9305e-002	-2.4475e-002	612.01
32866	1.2363e-002	-2.2886e-002	-2.4475e-002	541.12
32867	1.2363e-002	-2.0498e-002	-2.4475e-002	569.99
32868	1.0295e-002	-2.408e-002	-4.7621e-003	423.99
32869	1.0295e-002	-2.408e-002	-1.7904e-002	520.46
32870	1.0295e-002	-2.408e-002	-1.1333e-002	470.28
32871	1.0295e-002	-1.9305e-002	-4.7621e-003	464.35
32872	1.2363e-002	-2.2886e-002	-4.7621e-003	430.6
32873	1.2363e-002	-2.0498e-002	-4.7621e-003	448.42
32874	1.0295e-002	-1.9305e-002	-1.7904e-002	592.24
32875	1.0295e-002	-1.9305e-002	-1.1333e-002	525.44
32876	1.0295e-002	1.91e-002	-2.4475e-002	730.92
32877	1.0295e-002	2.3875e-002	-2.4475e-002	753.98
32878	1.2363e-002	2.0294e-002	-2.4475e-002	738.5
32879	1.2363e-002	2.2682e-002	-2.4475e-002	742.9
32880	1.0295e-002	1.91e-002	-4.7621e-003	539.72
32881	1.0295e-002	1.91e-002	-1.7904e-002	716.35
32882	1.0295e-002	1.91e-002	-1.0716e-002	609.81
32883	1.0295e-002	2.3875e-002	-4.7621e-003	546.86
32884	1.2119e-002	1.9947e-002	-4.7621e-003	538.34
32885	1.2363e-002	2.2682e-002	-4.7621e-003	538.23
32886	1.0295e-002	2.3875e-002	-1.7904e-002	759.92
32887	1.0295e-002	2.3875e-002	-1.1333e-002	646.64
32888	8.2271e-003	2.2682e-002	-2.4475e-002	744.11
32889	8.1566e-003	2.0425e-002	-2.4475e-002	733.7
32890	8.2271e-003	2.2682e-002	-4.7621e-003	542.94
32891	8.4395e-003	1.9985e-002	-4.7621e-003	535.53
32892	8.2271e-003	-2.0498e-002	-2.4475e-002	570.07
32893	8.2271e-003	-2.2886e-002	-2.4475e-002	541.78
32894	8.2271e-003	-2.0498e-002	-4.7621e-003	452.23
32895	8.2271e-003	-2.2886e-002	-4.7621e-003	428.8
32896	-3.3705e-002	-4.2061e-002	-2.4475e-002	384.37
32897	-3.3705e-002	-4.2061e-002	-2.3475e-002	378.47
32898	-3.5941e-002	-4.2061e-002	-2.4475e-002	399.19
32899	5.4295e-002	-4.2061e-002	-2.4475e-002	374.6
32900	5.4295e-002	-4.2061e-002	-2.3475e-002	372.22
32901	5.6531e-002	-4.2061e-002	-2.4475e-002	388.36
32902	-8.4692e-003	-4.2061e-002	9.5889e-003	324.47
32903	-8.4692e-003	-4.2061e-002	1.7525e-002	305.15
32904	-8.4692e-003	-4.2061e-002	1.3557e-002	313.29
32905	-1.1469e-002	-4.2061e-002	2.0525e-002	307.87
32906	-9.3479e-003	-4.2061e-002	1.9646e-002	303.92
32907	-3.2823e-002	-4.2061e-002	2.0525e-002	316.88
32908	-1.8587e-002	-4.2061e-002	2.0525e-002	316.66
32909	-2.5705e-002	-4.2061e-002	2.0525e-002	318.22
32910	-3.5382e-002	-4.2061e-002	1.909e-002	317.81
32911	-3.9624e-002	-4.2061e-002	1.2156e-002	323.09
32912	-3.7503e-002	-4.2061e-002	1.5623e-002	321.16
32913	-4.004e-002	-4.2061e-002	1.0982e-002	323.93
32914	-4.218e-002	-4.2061e-002	-5.2717e-003	358.8
32915	-4.0753e-002	-4.2061e-002	5.5644e-003	328.69
32916	-4.1466e-002	-4.2061e-002	1.4632e-004	340.07
32917	-4.2205e-002	-4.2061e-002	-5.6633e-003	360.29
32918	-4.2205e-002	-4.2061e-002	-1.8077e-002	392.22
32919	-4.2205e-002	-4.2061e-002	-1.187e-002	381.88
32920	-3.6705e-002	-4.2061e-002	-1.4475e-002	394.48
32921	-7.0521e-004	-4.2061e-002	-1.4475e-002	392.86
32922	-2.9505e-002	-4.2061e-002	-1.4475e-002	398.56
32923	-2.2305e-002	-4.2061e-002	-1.4475e-002	398.51
32924	-1.5105e-002	-4.2061e-002	-1.4475e-002	399.46
32925	-7.9052e-003	-4.2061e-002	-1.4475e-002	401.19
32926	5.2948e-003	-4.2061e-002	-2.0475e-002	398.84
32927	3.5374e-003	-4.2061e-002	-1.6232e-002	396.98
32928	5.2948e-003	-4.2061e-002	-2.1475e-002	404.15
32929	4.4909e-003	-4.2061e-002	-2.4475e-002	423.97
32930	1.6099e-002	-4.2061e-002	-2.4475e-002	424.55
32931	1.0295e-002	-4.2061e-002	-2.4475e-002	414.59
32932	1.5295e-002	-4.2061e-002	-2.1475e-002	401.35
32933	1.5295e-002	-4.2061e-002	-2.0475e-002	395.04
32934	2.1295e-002	-4.2061e-002	-1.4475e-002	392.58
32935	1.7052e-002	-4.2061e-002	-1.6232e-002	396.8
32936	5.7295e-002	-4.2061e-002	-1.4475e-002	392.03
32937	2.8495e-002	-4.2061e-002	-1.4475e-002	392.21
32938	3.5695e-002	-4.2061e-002	-1.4475e-002	396.94
32939	4.2895e-002	-4.2061e-002	-1.4475e-002	398.51
32940	5.0095e-002	-4.2061e-002	-1.4475e-002	395.86
32941	6.2795e-002	-4.2061e-002	-1.8077e-002	386.22
32942	6.2795e-002	-4.2061e-002	-5.6633e-003	356.51
32943	6.2795e-002	-4.2061e-002	-1.187e-002	377.12
32944	6.2769e-002	-4.2061e-002	-5.2717e-003	355.26
32945	6.0629e-002	-4.2061e-002	1.0982e-002	321.52
32946	6.2056e-002	-4.2061e-002	1.4632e-004	336.91
32947	6.1343e-002	-4.2061e-002	5.5644e-003	326.12
32948	6.0214e-002	-4.2061e-002	1.2156e-002	320.89
32949	5.5972e-002	-4.2061e-002	1.909e-002	316.02
32950	5.8093e-002	-4.2061e-002	1.5623e-002	319.09
32951	5.3413e-002	-4.2061e-002	2.0525e-002	314.58
32952	3.2059e-002	-4.2061e-002	2.0525e-002	306.03
32953	4.6295e-002	-4.2061e-002	2.0525e-002	316.03
32954	3.9177e-002	-4.2061e-002	2.0525e-002	314.49
32955	2.9059e-002	-4.2061e-002	1.7525e-002	303.48
32956	2.9937e-002	-4.2061e-002	1.9646e-002	301.94
32957	2.9059e-002	-4.2061e-002	9.5889e-003	322.23
32958	2.9059e-002	-4.2061e-002	1.3557e-002	311.18
32959	2.2995e-002	-4.2061e-002	3.5249e-003	337.96
32960	2.7727e-002	-4.2061e-002	5.7969e-003	333.67
32961	-2.4052e-003	-4.2061e-002	3.5249e-003	338.78
32962	1.6645e-002	-4.2061e-002	3.5249e-003	335.34
32963	1.0295e-002	-4.2061e-002	3.5249e-003	334.17
32964	3.9448e-003	-4.2061e-002	3.5249e-003	335.96
32965	-6.6931e-003	-4.2061e-002	5.301e-003	336.62
32966	1.1724e-002	-4.2061e-002	-6.262e-003	363.01
32967	1.1724e-002	-4.2061e-002	-4.612e-003	355.43
32968	2.2948e-003	-4.2061e-002	-6.9751e-003	368.29
32969	-3.9705e-002	-4.2061e-002	-6.9751e-003	367.79
32970	-4.7052e-003	-4.2061e-002	-6.9751e-003	374.27
32971	-1.1705e-002	-4.2061e-002	-6.9751e-003	372.5
32972	-1.8705e-002	-4.2061e-002	-6.9751e-003	372.64
32973	-2.5705e-002	-4.2061e-002	-6.9751e-003	374.14
32974	-3.2705e-002	-4.2061e-002	-6.9751e-003	371.96
32975	-3.9705e-002	-4.2061e-002	2.4883e-005	340.49
32976	-3.6705e-002	-4.2061e-002	3.0249e-003	334.58
32977	-3.8827e-002	-4.2061e-002	2.1462e-003	335.1
32978	-3.5941e-002	-4.2061e-002	3.0249e-003	335.15
32979	-3.3705e-002	-4.2061e-002	2.0249e-003	340.25
32980	-3.2705e-002	-4.2061e-002	2.0249e-003	341.05
32981	-3.2705e-002	-4.2061e-002	5.0249e-003	335.21
32982	-3.589e-002	-4.2061e-002	5.0249e-003	331.87
32983	-3.8865e-002	-4.2061e-002	8.4165e-003	327.78
32984	-3.8146e-002	-4.2061e-002	6.0468e-003	329.06
32985	-3.8594e-002	-4.2061e-002	1.0471e-002	326.02
32986	-3.8179e-002	-4.2061e-002	1.1645e-002	325.45
32987	-3.4542e-002	-4.2061e-002	1.759e-002	321.04
32988	-3.1982e-002	-4.2061e-002	1.9025e-002	319.91
32989	-1.2969e-002	-4.2061e-002	1.9025e-002	314.8
32990	-2.5645e-002	-4.2061e-002	1.9025e-002	321.12
32991	-1.9307e-002	-4.2061e-002	1.9025e-002	320.05
32992	-9.9692e-003	-4.2061e-002	1.6025e-002	314.19
32993	-1.0848e-002	-4.2061e-002	1.8146e-002	313.45
32994	-9.9692e-003	-4.2061e-002	9.5889e-003	327.5
32995	-5.6785e-003	-4.2061e-002	2.7698e-003	343.54
32996	-8.8073e-003	-4.2061e-002	5.5606e-003	338.68
32997	-4.7052e-003	-4.2061e-002	2.0249e-003	343.89
32998	-3.7052e-003	-4.2061e-002	2.0249e-003	343.18
32999	-1.4691e-003	-4.2061e-002	3.0249e-003	338.79
33000	-7.0521e-004	-4.2061e-002	3.0249e-003	338.44
33001	2.2948e-003	-4.2061e-002	2.4883e-005	343.76
33002	1.4161e-003	-4.2061e-002	2.1462e-003	339.07
33003	6.0295e-002	-4.2061e-002	-6.9751e-003	363.31
33004	6.0295e-002	-4.2061e-002	2.4883e-005	337.29
33005	1.8295e-002	-4.2061e-002	-6.9751e-003	368.01
33006	5.3295e-002	-4.2061e-002	-6.9751e-003	372.71
33007	4.6295e-002	-4.2061e-002	-6.9751e-003	370.95
33008	3.9295e-002	-4.2061e-002	-6.9751e-003	376.51
33009	3.2295e-002	-4.2061e-002	-6.9751e-003	372.84
33010	2.5295e-002	-4.2061e-002	-6.9751e-003	374.67
33011	1.8295e-002	-4.2061e-002	2.4883e-005	341.54
33012	2.1295e-002	-4.2061e-002	3.0249e-003	337.27
33013	1.9173e-002	-4.2061e-002	2.1462e-003	337.8
33014	2.2059e-002	-4.2061e-002	3.0249e-003	337.96
33015	2.4295e-002	-4.2061e-002	2.0249e-003	342.19
