Time,Average CPS Temperature,Total CPS Evaporation_Rate,Total Amount Evaporated
1.0,38.80254182789271,1.445664236109234e-18,3.9066313597320135
2.0,53.6697956838126,4.884143321494257e-17,3.9066313597320135
3.0,65.76950999497468,6.644533703517626e-16,3.9066313597320135
4.0,75.97795174769372,4.9949780723887624e-15,3.9066313597320135
5.0,84.8615858269806,2.516652184091778e-14,3.9066313597320135
6.0,92.78142099730938,9.558415621975265e-14,3.9066313597320135
7.0,99.97585959680501,2.9514270261882644e-13,3.9066313597320135
8.0,106.60909560995009,7.796368648584035e-13,3.9066313597320135
9.0,112.79821231019862,1.825746858748598e-12,3.9066313597320135
10.0,118.62913877097989,3.889091644846104e-12,3.9066313597320135
11.0,124.16666511296691,7.679600050966145e-12,3.9066313597320135
12.0,129.46068315322893,1.4259906558409476e-11,3.9066313597320135
13.0,134.55003770316935,2.517302344409299e-11,3.9066313597320135
14.0,139.46592295215797,4.260539068429747e-11,3.9066313597320135
15.0,144.23300429288835,6.960292721289062e-11,3.9066313597320135
16.0,148.8715769522914,1.1033461295704177e-10,3.9066313597320135
17.0,153.39828976797327,1.7044036965409266e-10,3.9066313597320135
18.0,157.82709596158813,2.574695507356669e-10,3.9066313597320135
19.0,162.1692820417358,3.814056794167303e-10,3.9066313597320135
20.0,166.43468902121512,5.553647807558611e-10,3.9066313597320135
21.0,170.6315043869236,7.964204772633771e-10,3.9066313597320135
22.0,174.76701726427797,1.1266494326078436e-09,3.9066313597320135
23.0,178.84696888071832,1.5743441948874353e-09,3.9066313597320135
24.0,182.87694963651273,2.1757148892426783e-09,3.9066313597320135
25.0,186.86133335718927,2.9764768851671105e-09,3.9066313597320135
26.0,190.80418584636033,4.0344426837966555e-09,3.9066313597320135
27.0,194.70902288084514,5.422140806713133e-09,3.9066313597320135
28.0,198.57908713168885,7.229851615570126e-09,3.9066313597320135
29.0,202.41688769947933,9.56966302004819e-09,3.9066313597320135
30.0,206.22505795095475,1.2580595211770478e-08,3.9066313597320135
31.0,210.00591192920197,1.643326973746894e-08,3.9066313597320135
32.0,213.76134341841112,2.133680490113024e-08,3.9066313597320135
33.0,217.49314104698723,2.7546520963273612e-08,3.9066313597320135
34.0,221.2030061630617,3.53728278108973e-08,3.9066313597320135
35.0,224.8922088366594,4.519113746291264e-08,3.9066313597320135
36.0,228.56238950316688,5.7455485850692116e-08,3.9066313597320135
37.0,232.2146425419976,7.27107623881421e-08,3.9066313597320135
38.0,235.85004126080727,9.161036551231828e-08,3.9066313597320135
39.0,239.4697376660597,1.149342136821375e-07,3.9066313597320135
40.0,243.07456092150963,1.4361210368085184e-07,3.9066313597320135
41.0,246.6654049570946,1.787421604404972e-07,3.9066313597320135
42.0,250.2431579633183,2.2163260428940482e-07,3.9066313597320135
43.0,253.80860616393284,2.7382214818169805e-07,3.9066313597320135
44.0,257.3622491949124,3.371116712501228e-07,3.9066313597320135
45.0,260.9049580430819,4.136315283687147e-07,3.9066313597320135
46.0,264.437005612203,5.058555175828465e-07,3.9066313597320135
47.0,267.9593414843518,6.166873227134336e-07,3.9066313597320135
48.0,271.4721727109026,7.494836528627377e-07,3.9066313597320135
49.0,274.97617165457694,9.081685740353678e-07,3.9066313597320135
50.0,278.471702841939,1.0972528715422426e-06,3.9066313597320135
51.0,281.9591699165343,1.3219712467853517e-06,3.9066313597320135
52.0,285.4389751859864,1.5883538266105474e-06,3.9066313597320135
53.0,288.91147194415083,1.903326073141038e-06,3.9066313597320135
54.0,292.3770538549607,2.274819460750953e-06,3.9066313597320135
55.0,295.8359602566176,2.7119398053237353e-06,3.9066313597320135
56.0,299.2884044818223,3.225056710181012e-06,3.9066313597320135
57.0,302.73495443667747,3.826052825727693e-06,3.9066313597320135
58.0,306.1755715045781,4.5283287221181316e-06,3.9066313597320135
59.0,309.6106677498357,5.347207498090495e-06,3.9066313597320135
60.0,313.0403186269304,6.300003628050122e-06,3.9066313597320135
61.0,316.46492340429455,7.406288268633292e-06,3.9066313597320135
62.0,319.88449484077046,8.688093133883659e-06,3.9066313597320135
63.0,323.2991465361759,1.0170398265816082e-05,3.9066313597320135
64.0,326.70936078976854,1.1881197458591455e-05,3.9066313597320135
65.0,330.11508440385467,1.3851916020349803e-05,3.9066313597320135
66.0,333.51642550059324,1.6117566964201084e-05,3.9066313597320135
67.0,336.9135356692569,1.871763439803769e-05,3.9066313597320135
68.0,340.3064902938726,2.169612789719065e-05,3.9066313597320135
69.0,343.6956435388056,2.5102068266301857e-05,3.9066313597320135
70.0,347.0808430240946,2.8989923654070522e-05,3.9066313597320135
71.0,350.46229860682536,3.342036013642654e-05,3.9066313597320135
72.0,353.84004996482975,3.8460773672858615e-05,3.9066313597320135
73.0,357.21408426919515,4.418533076000916e-05,3.9066313597320135
74.0,360.5845780827161,5.067664049089683e-05,3.9066313597320135
75.0,363.9515594761622,5.802541126990952e-05,3.9066313597320135
76.0,367.3150843747221,6.633232034049426e-05,3.9066313597320135
77.0,370.6751286582866,7.570787714003689e-05,3.9066313597320135
78.0,374.03181881284854,8.627322843955734e-05,3.9066313597320135
79.0,377.38506113826975,9.816160006232929e-05,3.9066313597320135
80.0,380.7350211979316,0.00011151969437852725,3.9066313597320135
81.0,384.0815136980889,0.0001265067636856041,3.9066313597320135
82.0,387.42475783676554,0.00014329888431047143,3.9066313597320135
83.0,390.7645562634781,0.00016208532777888063,3.9066313597320135
84.0,394.1011258575908,0.00018307666627393707,3.9066313597320135
85.0,397.4341742996667,0.00020649746929582037,3.9066313597320135
86.0,400.76396913041594,0.00023259630591770505,3.9066313597320135
87.0,404.0903706438813,0.00026164076046641043,3.9066313597320135
88.0,407.4130779727981,0.00029391755656818806,3.9066313597320135
89.0,410.73240049424624,0.0003297444625232336,3.9066313597320135
90.0,414.04821324871426,0.0003694638092600192,3.9066313597320135
91.0,417.3603827958192,0.0004134387325190393,3.9066313597320135
92.0,420.66884413033443,0.0004620675055660274,3.9066313597320135
93.0,423.9735186623348,0.0005157752839368058,3.9066313597320135
94.0,427.2744533281044,0.0005750230598471554,3.9066313597320135
95.0,430.5714637653676,0.0006403054759333588,3.9066313597320135
96.0,433.8645212478373,0.0007121532337637468,3.9066313597320135
97.0,437.1534412362532,0.0007911325269829161,3.9066313597320135
98.0,440.43828175409607,0.000877852426331022,3.9066313597320135
99.0,443.71879193267097,0.0009729610383121983,3.9066313597320135
100.0,446.9949126067028,0.0010771591822899107,3.9066313597320135
101.0,450.26645817473315,0.0011911779459430523,3.9066313597320135
102.0,453.53345126386415,0.001315815613870503,3.9066313597320135
103.0,456.79563513751873,0.0014519097768563166,3.9066313597320135
104.0,460.05287143236876,0.0016003385343126642,3.9066313597320135
105.0,463.3051380080952,0.0017620682914422795,3.9066313597320135
106.0,466.5521605229799,0.0019380860495363768,3.9066313597320135
107.0,469.7938555926195,0.002129460212767157,3.9066313597320135
108.0,473.0299195927844,0.0023372954769649043,3.9066313597320135
109.0,476.2603469636881,0.00256279455017749,3.9066313597320135
110.0,479.48490913526825,0.0028071990377888183,3.9066313597320135
111.0,482.7034519082104,0.003071819125545032,3.9066313597320135
112.0,485.91564625197606,0.0033580170429564765,3.9066313597320135
113.0,489.12141701499377,0.0036672549176658773,3.9066313597320135
114.0,492.3204288236179,0.00400104900188147,3.9066313597320135
115.0,495.5127221625628,0.004360980478410226,3.9066313597320135
116.0,498.697851568351,0.004748722720106531,3.9066313597320135
117.0,501.8756261153224,0.0051659778642061,3.9066313597320135
118.0,505.0459542417967,0.005614590512721794,3.9066313597320135
119.0,508.20839912309464,0.006096406165554798,3.9066313597320135
120.0,511.3627873371371,0.006613369696863766,3.9066313597320135
121.0,514.5088782708924,0.007167519945062728,3.9066313597320135
122.0,517.646612767993,0.00776097821182224,3.9066313597320135
123.0,520.7752920952105,0.008395850081064532,3.9066313597320135
124.0,523.895076071842,0.009074430378751478,3.9066313597320135
125.0,527.0054597665803,0.009799008157139756,3.9066313597320135
126.0,530.1062517769291,0.01057194918062398,3.9066313597320135
127.0,533.197207471464,0.011395733748190789,3.9066313597320135
128.0,536.2777903601155,0.012272815211601848,3.9066313597320135
129.0,539.3479406061823,0.01320574879338142,3.9066313597320135
130.0,542.4073025472092,0.014197205615087449,3.9066313597320135
131.0,545.4555854238524,0.015249821155230207,3.9066313597320135
132.0,548.4924219725135,0.016366349719524092,3.9066313597320135
133.0,551.5175887754067,0.01754949118124557,3.9066313597320135
134.0,554.5306423310058,0.018802148309791274,3.9066313597320135
135.0,557.5314878649839,0.020127132446837653,3.9066313597320135
136.0,560.5198137291429,0.02152742595666784,3.9066313597320135
137.0,563.4949604811852,0.023005626534288583,3.9066313597320135
138.0,566.4567757637377,0.024564950093690738,3.9066313597320135
139.0,569.4051047127076,0.026208221357128032,3.9066313597320135
140.0,572.3394025468375,0.0279383948333651,3.9066313597320135
141.0,575.2594639065895,0.029758351416889088,3.9066313597320135
142.0,578.1649939004849,0.03167115017434865,3.9066313597320135
143.0,581.0556435389125,0.03367969064896499,3.9066313597320135
144.0,583.9311037789931,0.035786880608489995,3.9066313597320135
145.0,586.7909633725039,0.03799543015490843,3.9066313597320135
146.0,589.6350094815127,0.04030840362041289,3.9066313597320135
146.6,597.6950930082562,0.04752869375293287,3.9066313597320135
146.7,599.8781223876825,0.049328314556741096,3.9066313597320135
146.8,601.1777925684576,0.05025771983066024,3.9066313597320135
147.0,602.5441203159104,0.050899535424913385,3.9066313597320135
147.1,602.9192590840244,0.05092903833777453,3.9066313597320135
147.5,603.6679654955232,0.05043573646465756,3.9066313597320135
147.6,603.7761325471649,0.050266561218185034,3.9066313597320135
147.8,603.9655421892795,0.049934787353636705,3.9066313597320135
148.0,604.1456408416625,0.049632864672801966,3.9066313597320135
148.2,604.3342016672482,0.049372833592865484,3.9066313597320135
148.4,604.539379387134,0.04915829560864241,3.9066313597320135
149.0,605.2826727767513,0.04878335830456161,3.9066313597320135
149.5,606.0484492027776,0.048745312494062366,3.9066313597320135
150.0,606.9306568428091,0.04891594633569293,3.9066313597320135
150.5,607.9112465645721,0.049262998715132456,3.9066313597320135
151.0,608.9741868351712,0.04976063332595209,3.9066313597320135
151.51,608.2590776960357,0.048434057289430336,3.9066313597320135
151.5165,607.5684242842816,0.04773580878482097,3.9066313597320135
151.5229,607.0229412448183,0.047198582806995855,3.9066313597320135
151.6006,603.408093726557,0.04383942609544253,3.9066313597320135
151.7754,598.4591997628361,0.03939717831626762,3.9066313597320135
152.0,594.2486925899234,0.035736957110486724,3.9066313597320135
153.0,581.1810021289605,0.026056423018143943,3.9066313597320135
154.0,573.9848988760813,0.02165231235736395,3.9066313597320135
155.0,567.6429931631419,0.018355322277979893,3.9066313597320135
156.0,563.6255198508867,0.016429754030703264,3.9066313597320135
157.0,559.6079782444441,0.01469912904012931,3.9066313597320135
158.0,555.6565663169973,0.013169189257025222,3.9066313597320135
159.0,553.3666617774136,0.012276693076931928,3.9066313597320135
161.0,548.8610882113018,0.010682427898393004,3.9066313597320135
162.0,546.6083618976426,0.009959695390439907,3.9066313597320135
163.0,544.3554756661108,0.00928278688953788,3.9066313597320135
164.0,542.7696581798277,0.008803683098561624,3.9066313597320135
165.0,541.4931134941927,0.008416896947819746,3.9066313597320135
166.0,540.2165772483245,0.008046128220566622,3.9066313597320135
167.0,538.9399776186867,0.007690794053319841,3.9066313597320135
168.0,537.6634603279471,0.007350347921790774,3.9066313597320135
169.0,536.3868821576054,0.007024186663789293,3.9066313597320135
170.0,535.110316145426,0.006711794006783781,3.9066313597320135
171.0,533.8337732604656,0.006412650178088506,3.9066313597320135
172.0,532.9934906333938,0.00620671870734335,3.9066313597320135
173.0,532.2346296587748,0.0060220072502754005,3.9066313597320135
174.0,531.4758245536707,0.005842777851814482,3.9066313597320135
175.0,530.7169913595917,0.005668868166198017,3.9066313597320135
176.0,529.9581371039014,0.005500168053566187,3.9066313597320135
177.0,529.1993501804358,0.005336517642769354,3.9066313597320135
178.0,528.4405696149745,0.005177780916086447,3.9066313597320135
179.0,527.6817439179918,0.005023816057581752,3.9066313597320135
180.0,526.9228537627844,0.0048744866953170825,3.9066313597320135
181.0,526.1639602758598,0.004729692386629806,3.9066313597320135
182.0,525.6215569328938,0.00462255763857246,3.9066313597320135
183.0,525.1191814027857,0.004524056641660725,3.9066313597320135
184.0,524.6169569898129,0.0044278492864347485,3.9066313597320135
185.0,524.1147010177644,0.004333852876529057,3.9066313597320135
186.0,523.6125046536081,0.004242039485543078,3.9066313597320135
187.0,523.1101828755673,0.0041523433182648435,3.9066313597320135
188.0,522.6080074089208,0.004064749559954492,3.9066313597320135
189.0,522.1058446903928,0.00397919252356753,3.9066313597320135
