Time,Average CPS Temperature,Total CPS Evaporation_Rate,Total Amount Evaporated
0.1,22.578931663962877,2.7086998828772342e-20,4.6397
1.0,38.80254182789271,1.445455877460705e-18,4.6397
2.0,53.6697956838126,4.8834393865996456e-17,4.6397
3.0,65.76950999497468,6.643576049570055e-16,4.6397
4.0,75.97795174769372,4.9942581632600706e-15,4.6397
5.0,84.8615858269806,2.5162894676083794e-14,4.6397
6.0,92.78142099730938,9.557038000179462e-14,4.6397
7.0,99.97585959680501,2.9510016470918956e-13,4.6397
8.0,106.60909560995009,7.795244984600048e-13,4.6397
9.0,112.79821231019862,1.8254837200898807e-12,4.6397
10.0,118.62913877097989,3.888531123350942e-12,4.6397
11.0,124.16666511296691,7.678493216441296e-12,4.6397
12.0,129.46068315322893,1.425785132678345e-11,4.6397
13.0,134.55003770316935,2.516939534220515e-11,4.6397
14.0,139.46592295215797,4.2599250114861415e-11,4.6397
15.0,144.23300429288835,6.959289558072767e-11,4.6397
16.0,148.8715769522914,1.1031871080613599e-10,4.6397
17.0,153.39828976797327,1.7041580466577177e-10,4.6397
18.0,157.82709596158813,2.5743244252873417e-10,4.6397
19.0,162.1692820417358,3.813507087188879e-10,4.6397
20.0,166.43468902121512,5.552847379269186e-10,4.6397
21.0,170.6315043869236,7.963056919002488e-10,4.6397
22.0,174.76701726427797,1.1264870524733139e-09,4.6397
23.0,178.84696888071832,1.5741172900359675e-09,4.6397
24.0,182.87694963651273,2.1754013108870792e-09,4.6397
25.0,186.86133335718927,2.9760478957201274e-09,4.6397
26.0,190.80418584636033,4.033861213352711e-09,4.6397
27.0,194.70902288084514,5.4213593320785635e-09,4.6397
28.0,198.57908713168885,7.228809601751106e-09,4.6397
29.0,202.41688769947933,9.568283777203322e-09,4.6397
30.0,206.22505795095475,1.2578782013552974e-08,4.6397
31.0,210.00591192920197,1.6430901266431274e-08,4.6397
32.0,213.76134341841112,2.1333729700317984e-08,4.6397
33.0,217.49314104698723,2.7542550777295268e-08,4.6397
34.0,221.2030061630617,3.5367729646044594e-08,4.6397
35.0,224.8922088366594,4.5184624218625295e-08,4.6397
36.0,228.56238950316688,5.7447204987761824e-08,4.6397
37.0,232.2146425419976,7.27002828343105e-08,4.6397
38.0,235.85004126080727,9.159716202324202e-08,4.6397
39.0,239.4697376660597,1.1491764860648964e-07,4.6397
40.0,243.07456092150963,1.435914053588708e-07,4.6397
41.0,246.6654049570946,1.7871639894342592e-07,4.6397
42.0,250.2431579633183,2.2160066113915853e-07,4.6397
43.0,253.80860616393284,2.7378268313074943e-07,4.6397
44.0,257.3622491949124,3.3706308449638655e-07,4.6397
45.0,260.9049580430819,4.1357191306933364e-07,4.6397
46.0,264.437005612203,5.057826103549011e-07,4.6397
47.0,267.9593414843518,6.165984416759726e-07,4.6397
48.0,271.4721727109026,7.493756323437923e-07,4.6397
49.0,274.97617165457694,9.080376828007392e-07,4.6397
50.0,278.471702841939,1.0970947282336521e-06,4.6397
51.0,281.9591699165343,1.3217807155848869e-06,4.6397
52.0,285.4389751859864,1.5881249025987102e-06,4.6397
53.0,288.91147194415083,1.9030517532551302e-06,4.6397
54.0,292.3770538549607,2.2744915987919646e-06,4.6397
55.0,295.8359602566176,2.711548942702514e-06,4.6397
56.0,299.2884044818223,3.2245918937729003e-06,4.6397
57.0,302.73495443667747,3.825501389802214e-06,4.6397
58.0,306.1755715045781,4.527676069566404e-06,4.6397
59.0,309.6106677498357,5.3464368233377565e-06,4.6397
60.0,313.0403186269304,6.299095630045549e-06,4.6397
61.0,316.46492340429455,7.405220825602103e-06,4.6397
62.0,319.88449484077046,8.686840948695384e-06,4.6397
63.0,323.2991465361759,1.0168932441052117e-05,4.6397
64.0,326.70936078976854,1.1879485062183251e-05,4.6397
65.0,330.11508440385467,1.3849919591006491e-05,4.6397
66.0,333.51642550059324,1.6115243994325813e-05,4.6397
67.0,336.9135356692569,1.8714936689323986e-05,4.6397
68.0,340.3064902938726,2.169300090838228e-05,4.6397
69.0,343.6956435388056,2.5098450390941443e-05,4.6397
70.0,347.0808430240946,2.8985745435392447e-05,4.6397
71.0,350.46229860682536,3.3415543374070895e-05,4.6397
72.0,353.84004996482975,3.8455230452916045e-05,4.6397
73.0,357.21408426919515,4.417896247920645e-05,4.6397
74.0,360.5845780827161,5.0669336639794375e-05,4.6397
75.0,363.9515594761622,5.801704826557519e-05,4.6397
76.0,367.3150843747221,6.632276008972871e-05,4.6397
77.0,370.6751286582866,7.569696562229305e-05,4.6397
78.0,374.03181881284854,8.626079417381779e-05,4.6397
79.0,377.38506113826975,9.814745236619376e-05,4.6397
80.0,380.7350211979316,0.00011150362142588396,4.6397
81.0,384.0815136980889,0.00012648853069785148,4.6397
82.0,387.42475783676554,0.00014327823113172847,4.6397
83.0,390.7645562634781,0.00016206196697420767,4.6397
84.0,394.1011258575908,0.00018305028005934497,4.6397
85.0,397.4341742996667,0.00020646770752088503,4.6397
86.0,400.76396913041594,0.00023256278260659074,4.6397
87.0,404.0903706438813,0.00026160305107726645,4.6397
88.0,407.4130779727981,0.0002938751952346668,4.6397
89.0,410.73240049424624,0.0003296969375801276,4.6397
90.0,414.04821324871426,0.0003694105597031338,4.6397
91.0,417.3603827958192,0.00041337914500666565,4.6397
92.0,420.66884413033443,0.0004620009093546913,4.6397
93.0,423.9735186623348,0.0005157009470068179,4.6397
94.0,427.2744533281044,0.0005749401837375924,4.6397
95.0,430.5714637653676,0.0006402131908921445,4.6397
96.0,433.8645212478373,0.0007120505935506,4.6397
97.0,437.1534412362532,0.0007910185037539999,4.6397
98.0,440.43828175409607,0.0008777259044592138,4.6397
99.0,443.71879193267097,0.0009728208087609993,4.6397
100.0,446.9949126067028,0.0010770039350161196,4.6397
101.0,450.26645817473315,0.0011910062655342995,4.6397
102.0,453.53345126386415,0.0013156259698603853,4.6397
103.0,456.79563513751873,0.0014517005180593318,4.6397
104.0,460.05287143236876,0.0016001078829858415,4.6397
105.0,463.3051380080952,0.0017618143305579669,4.6397
106.0,466.5521605229799,0.0019378067198137978,4.6397
107.0,469.7938555926195,0.00212915330094009,4.6397
108.0,473.0299195927844,0.0023369586105510924,4.6397
109.0,476.2603469636881,0.0025624251833524726,4.6397
110.0,479.48490913526825,0.0028067944457797907,4.6397
111.0,482.7034519082104,0.0030713763947465946,4.6397
112.0,485.91564625197606,0.003357533063429743,4.6397
113.0,489.12141701499377,0.0036667263687404964,4.6397
114.0,492.3204288236179,0.004000472344354841,4.6397
115.0,495.5127221625628,0.004360351945189269,4.6397
116.0,498.697851568351,0.004748038302920653,4.6397
117.0,501.8756261153224,0.0051652333094614825,4.6397
118.0,505.0459542417967,0.005613781300968432,4.6397
119.0,508.20839912309464,0.006095527511357085,4.6397
120.0,511.3627873371371,0.006612416534478029,4.6397
121.0,514.5088782708924,0.0071664869148944784,4.6397
122.0,517.646612767993,0.007759859648541025,4.6397
123.0,520.7752920952105,0.008394640015869271,4.6397
124.0,523.895076071842,0.009073122512095678,4.6397
125.0,527.0054597665803,0.009797595859563628,4.6397
126.0,530.1062517769291,0.010570425481698204,4.6397
127.0,533.197207471464,0.011394091320009011,4.6397
128.0,536.2777903601155,0.012271046372664515,4.6397
129.0,539.3479406061823,0.013203845493913484,4.6397
130.0,542.4073025472092,0.01419515942033422,4.6397
131.0,545.4555854238524,0.015247623250594502,4.6397
132.0,548.4924219725135,0.016363990893440036,4.6397
133.0,551.5175887754067,0.01754696183302379,4.6397
134.0,554.5306423310058,0.01879943842037614,4.6397
135.0,557.5314878649839,0.020124231591984468,4.6397
136.0,560.5198137291429,0.021524323282293936,4.6397
137.0,563.4949604811852,0.023002310811914374,4.6397
138.0,566.4567757637377,0.024561409631337947,4.6397
139.0,569.4051047127076,0.02620444405570082,4.6397
140.0,572.3394025468375,0.02793436816794435,4.6397
141.0,575.2594639065895,0.029754062447342213,4.6397
